Nb,Sector,Type,magnet,Loop,nc,L,QS,Kvmax,R,u0,QEH,T2,CV1,CV2,P1,P4,T3,T1,Qbs,MassFlow,TC84x,TC94x
368,78,ARC,Q11,QRLAB_11R7_X43,4,53,7,0.39,48,7,LBARB_12R7_EH843,LBARB_12R7_TT843,QRLAB_11R7_CV943,0,QRLAA_13R7_PT961,QRLAA_13R7_PT991,QRLAB_11R7_TT943,QRLAA_13R7_TT961,QRLAB_11R7_QBS943,QRLAB_11R7_FT943,LBARB_12R7_TC843,QRLAB_11R7_TC943
369,78,ARC,Q12,QRLAA_13R7_X47,4,53,7,0.39,40,8,LQATH_12R7_EH847,LQATH_12R7_TT847,QRLAA_13R7_CV947,0,QRLAA_13R7_PT961,QRLAA_13R7_PT991,QRLAA_13R7_TT947,QRLAA_13R7_TT961,QRLAA_13R7_QBS947,QRLAA_13R7_FT947,LQATH_12R7_TC847,QRLAA_13R7_TC947
370,78,ARC,Q13,QRLAA_13R7_X43,4,53,7,0.39,36,7,LBARB_14R7_EH843,LBARB_14R7_TT843,QRLAA_13R7_CV943,0,QRLAA_13R7_PT961,QRLAA_13R7_PT991,QRLAA_13R7_TT943,QRLAA_13R7_TT961,QRLAA_13R7_QBS943,QRLAA_13R7_FT943,LBARB_14R7_TC843,QRLAA_13R7_TC943
371,78,ARC,Q14,QRLAB_15R7_X47,4,53,7,0.39,48,8,LQATH_14R7_EH847,LQATH_14R7_TT847,QRLAB_15R7_CV947,0,QRLAA_13R7_PT961,QRLAA_13R7_PT991,QRLAB_15R7_TT947,QRLAA_13R7_TT961,QRLAB_15R7_QBS947,QRLAB_15R7_FT947,LQATH_14R7_TC847,QRLAB_15R7_TC947
372,78,ARC,Q15,QRLAB_15R7_X43,4,53,7,0.39,41,8,LBARB_16R7_EH843,LBARB_16R7_TT843,QRLAB_15R7_CV943,0,QRLAA_17R7_PT961,QRLAA_17R7_PT991,QRLAB_15R7_TT943,QRLAA_17R7_TT961,QRLAB_15R7_QBS943,QRLAB_15R7_FT943,LBARB_16R7_TC843,QRLAB_15R7_TC943
373,78,ARC,Q16,QRLAA_17R7_X47,4,53,7,0.39,41,8,LQATH_16R7_EH847,LQATH_16R7_TT847,QRLAA_17R7_CV947,0,QRLAA_17R7_PT961,QRLAA_17R7_PT991,QRLAA_17R7_TT947,QRLAA_17R7_TT961,QRLAA_17R7_QBS947,QRLAA_17R7_FT947,LQATH_16R7_TC847,QRLAA_17R7_TC947
374,78,ARC,Q17,QRLAA_17R7_X43,4,53,7,0.39,32,8,LBARB_18R7_EH843,LBARB_18R7_TT843,QRLAA_17R7_CV943,0,QRLAA_17R7_PT961,QRLAA_17R7_PT991,QRLAA_17R7_TT943,QRLAA_17R7_TT961,QRLAA_17R7_QBS943,QRLAA_17R7_FT943,LBARB_18R7_TC843,QRLAA_17R7_TC943
375,78,ARC,Q18,QRLAB_19R7_X47,4,53,7,0.39,84,7,LQATH_18R7_EH847,LQATH_18R7_TT847,QRLAB_19R7_CV947,0,QRLAA_17R7_PT961,QRLAA_17R7_PT991,QRLAB_19R7_TT947,QRLAA_17R7_TT961,QRLAB_19R7_QBS947,QRLAB_19R7_FT947,LQATH_18R7_TC847,QRLAB_19R7_TC947
376,78,ARC,Q19,QRLAB_19R7_X43,4,53,7,0.39,41,8,LBARB_20R7_EH843,LBARB_20R7_TT843,QRLAB_19R7_CV943,0,QRLAA_21R7_PT961,QRLAA_21R7_PT991,QRLAB_19R7_TT943,QRLAA_21R7_TT961,QRLAB_19R7_QBS943,QRLAB_19R7_FT943,LBARB_20R7_TC843,QRLAB_19R7_TC943
377,78,ARC,Q20,QRLAA_21R7_X47,4,53,7,0.39,35,6,LQATH_20R7_EH847,LQATH_20R7_TT847,QRLAA_21R7_CV947,0,QRLAA_21R7_PT961,QRLAA_21R7_PT991,QRLAA_21R7_TT947,QRLAA_21R7_TT961,QRLAA_21R7_QBS947,QRLAA_21R7_FT947,LQATH_20R7_TC847,QRLAA_21R7_TC947
378,78,ARC,Q21,QRLAA_21R7_X43,4,53,7,0.39,46,7,LBARB_22R7_EH843,LBARB_22R7_TT843,QRLAA_21R7_CV943,0,QRLAA_21R7_PT961,QRLAA_21R7_PT991,QRLAA_21R7_TT943,QRLAA_21R7_TT961,QRLAA_21R7_QBS943,QRLAA_21R7_FT943,LBARB_22R7_TC843,QRLAA_21R7_TC943
379,78,ARC,Q22,QRLAB_23R7_X47,4,53,7,0.39,45,8,LQOAG_22R7_EH847,LQOAG_22R7_TT847,QRLAB_23R7_CV947,0,QRLAA_21R7_PT961,QRLAA_21R7_PT991,QRLAB_23R7_TT947,QRLAA_21R7_TT961,QRLAB_23R7_QBS947,QRLAB_23R7_FT947,LQOAG_22R7_TC847,QRLAB_23R7_TC947
380,78,ARC,Q23,QRLAB_23R7_X43,4,53,7,0.39,34,8,LBARB_24R7_EH843,LBARB_24R7_TT843,QRLAB_23R7_CV943,0,QRLAA_25R7_PT961,QRLAA_25R7_PT991,QRLAB_23R7_TT943,QRLAA_25R7_TT961,QRLAB_23R7_QBS943,QRLAB_23R7_FT943,LBARB_24R7_TC843,QRLAB_23R7_TC943
381,78,ARC,Q24,QRLAA_25R7_X47,4,53,7,0.39,41,7,LQOAG_24R7_EH847,LQOAG_24R7_TT847,QRLAA_25R7_CV947,0,QRLAA_25R7_PT961,QRLAA_25R7_PT991,QRLAA_25R7_TT947,QRLAA_25R7_TT961,QRLAA_25R7_QBS947,QRLAA_25R7_FT947,LQOAG_24R7_TC847,QRLAA_25R7_TC947
382,78,ARC,Q25,QRLAA_25R7_X43,4,53,7,0.39,33,8,LBARB_26R7_EH843,LBARB_26R7_TT843,QRLAA_25R7_CV943,0,QRLAA_25R7_PT961,QRLAA_25R7_PT991,QRLAA_25R7_TT943,QRLAA_25R7_TT961,QRLAA_25R7_QBS943,QRLAA_25R7_FT943,LBARB_26R7_TC843,QRLAA_25R7_TC943
383,78,ARC,Q26,QRLAB_27R7_X47,4,53,7,0.39,46,8,LQOAG_26R7_EH847,LQOAG_26R7_TT847,QRLAB_27R7_CV947,0,QRLAA_25R7_PT961,QRLAA_25R7_PT991,QRLAB_27R7_TT947,QRLAA_25R7_TT961,QRLAB_27R7_QBS947,QRLAB_27R7_FT947,LQOAG_26R7_TC847,QRLAB_27R7_TC947
